experiment,SC,BC,AQ,IQ,OC,MC,Mean
W16A16 dense,0.9644059448968619,0.941705322265625,0.6205442100763321,0.6759058771604373,0.24505614303052425,0.992411873984077,0.740004895235643
Q-only 2:4 weight norm,0.9636272353120148,0.9423149108886719,0.6164096891880035,0.6696177913524487,0.24128582514822483,0.9926477614724818,0.7376505355603076
K-only 2:4 weight norm,0.962949098367244,0.9469150543212891,0.6199488267302513,0.659748149153627,0.24466978758573532,0.9930990132117843,0.7378883215616551
K-only 2:4 RPQ + weight norm + fallback6,0.9680927380919456,0.9471435546875,0.6157376617193222,0.6721608018286435,0.24309109896421432,0.9926316873742951,0.7398095904443202
K-only 4:8 pairwise RPQ + weight norm + fallback6,0.9676483402960002,0.9527996063232422,0.6155765131115913,0.6742670369442598,0.24448339454829693,0.993356076362294,0.7413551612642807
K-only 2:4 share-index=2 RPQ + weight norm + fallback6,0.9672217926476151,0.9500473022460938,0.6165035590529442,0.6719618083223885,0.24595213308930397,0.992732669481819,0.7407365441400274
