method,SC,BC,AQ,IQ,OC,MC,mean,no_fallback_mean,delta_vs_no_fallback,delta_vs_w16a16,delta_vs_w4a4
"P@V 2:4 + HiF4, edge3x2",0.967249931,0.943008423,0.624515407,0.674225764,0.246199202,0.992554426,0.741292192,0.742318817,-0.001026625,0.001287297,0.000806464
"P@V 4:8 pairwise + HiF4, edge3x2",0.966905217,0.941633987,0.625523753,0.675288098,0.246166114,0.992586011,0.741350530,0.741601415,-0.000250885,0.001345635,0.000864802
"P@V 2:4 share2 + HiF4, edge3x2",0.966840819,0.944861221,0.617903024,0.674361990,0.246162236,0.992312255,0.740406924,0.744150391,-0.003743467,0.000402029,-0.000078804
"P@V 2:4 + P/V QK HiF4, edge3x2",0.964909665,0.946876526,0.620867498,0.658107023,0.247612424,0.992270878,0.738440669,0.742580391,-0.004139722,-0.001564226,-0.002045059
"P@V 4:8 pairwise + P/V QK HiF4, edge3x2",0.964965618,0.950082779,0.622013643,0.662253762,0.246915113,0.992192324,0.739737206,0.740084849,-0.000347643,-0.000267689,-0.000748522
"P@V 2:4 share2 + P/V QK HiF4, edge3x2",0.964253551,0.943756485,0.624490649,0.659711223,0.246643538,0.992180768,0.738506036,0.741629223,-0.003123187,-0.001498860,-0.001979693
