method,SC,BC,AQ,IQ,OC,MC,mean,delta_vs_w16a16,delta_vs_pv_only
SLA W16A16 dense,0.964405945,0.941705322,0.620544210,0.675905877,0.245056143,0.992411874,0.740004895,0.000000000,nan
P@V 2:4 + HiF4 (QK 16-bit),0.967623615,0.948030472,0.627253018,0.676863475,0.242600089,0.991542233,0.742318817,0.002313922,nan
P@V 4:8 pairwise + HiF4 (QK 16-bit),0.965564296,0.940917206,0.630177200,0.674538333,0.246017335,0.992394122,0.741601415,0.001596520,nan
P@V 2:4 share-index=2 + HiF4 (QK 16-bit),0.966177578,0.947050476,0.631756902,0.681831635,0.246645557,0.991440197,0.744150391,0.004145496,nan
P@V 2:4 + P/V HiF4 + QK HiF4,0.967476122,0.949403381,0.632499114,0.668542776,0.245553179,0.992007773,0.742580391,0.002575496,0.000261574
P@V 4:8 pairwise + P/V HiF4 + QK HiF4,0.965954994,0.948049545,0.625301689,0.661932917,0.247406526,0.991863424,0.740084849,0.000079954,-0.001516566
P@V 2:4 share-index=2 + P/V HiF4 + QK HiF4,0.964131374,0.945565796,0.632727683,0.672768024,0.242499469,0.992082992,0.741629223,0.001624328,-0.002521168
SLA K HiF4 W4A4 dense reference,0.962241218,0.942064285,0.623855628,0.679494231,0.242996275,0.992262732,0.740485728,0.000480833,nan
