method,SC,BC,AQ,IQ,OC,MC,mean,delta_vs_w16a16
SLA W16A16 dense,0.9644059448968619,0.941705322265625,0.6205442100763321,0.6759058771604373,0.24505614303052425,0.992411873984077,0.740004895235643,0.0
SLA P@V 2:4 + HiF4,0.9676236147992313,0.9480304718017578,0.6272530183196068,0.6768634746104111,0.2426000889390707,0.9915422326580372,0.7423188168546858,0.002313921619042869
SLA P@V 4:8 pairwise + HiF4,0.9655642955563962,0.9409172058105468,0.6301771998405457,0.6745383329744692,0.2460173349827528,0.9923941221238568,0.7416014152147613,0.0015965199791183604
SLA P@V 2:4 share-index=2 + HiF4,0.9661775781307369,0.9470504760742188,0.6317569017410278,0.6818316351337198,0.24664555676281452,0.991440197058008,0.7441503908167544,0.004145495581111436
SLA K HiF4 W4A4 dense (existing reference),0.9622412183322012,0.9420642852783203,0.6238556280732155,0.6794942310710012,0.24299627542495728,0.9922627320178108,0.740485728366251,0.00048083313060809374
